shot_id,act,file,scroll_from_pct,scroll_to_pct,tier,model,mode,duration_sec,credits,seed,anchor_still,reuse_of,description
A0-010,void,AxiomGT-A0-010_void-ignition.mp4,0.00,2.19,1,cinematic_studio_video_v2,pro,8,12,anchor,ST-001,,Volumetric spotlight cuts on in black space. Wordmark resolves out of lens flare and light streaks.
A0-020,void,AxiomGT-A0-020_component-drift.mp4,2.19,4.39,1,cinematic_studio_video_v2,pro,8,12,chain,,,"Slow 0.15 m/s drift through the suspended component field. Parts rotate gently in place, rim light only."
A1-010,assembly,AxiomGT-A1-010_chassis-lock.mp4,4.39,6.87,1,cinematic_studio_video_v2,pro,10,15,chain,,,Chassis rails and subframe rise from below and lock together.
A1-020,assembly,AxiomGT-A1-020_powertrain-seat.mp4,6.87,9.34,1,cinematic_studio_video_v2,pro,10,15,chain,,,Engine block and drivetrain lower into the chassis and seat with a mechanical settle.
A1-030,assembly,AxiomGT-A1-030_suspension-attach.mp4,9.34,11.33,1,cinematic_studio_video_v2,pro,8,12,chain,,,"Suspension arms, coilovers and wheel wells attach. Springs compress once as they take load."
A1-040,assembly,AxiomGT-A1-040_panels-weld.mp4,11.33,14.30,1,cinematic_studio_video_v2,pro,12,18,chain,,,"Body panels fly in from the surrounding dark and weld into place, panel by panel. Seams glow at each weld."
A1-050,assembly,AxiomGT-A1-050_glazing-doors.mp4,14.30,16.78,1,cinematic_studio_video_v2,pro,10,15,chain,,,Windscreen and side glass slide in and seal. Doors swing in from the void and hang on their hinges.
A1-060,assembly,AxiomGT-A1-060_lighting-ignite.mp4,16.78,19.26,1,cinematic_studio_video_v2,pro,10,15,chain,,,"Headlights, grille and mirrors self-assemble. Lens elements focus, then the lights flicker on once seated."
A1-070,assembly,AxiomGT-A1-070_interior-build.mp4,19.26,21.74,1,cinematic_studio_video_v2,pro,10,15,chain,,,"Through the glazing: dashboard grows into place, seats slide in and settle, steering wheel locks onto the column."
A1-080,assembly,AxiomGT-A1-080_wheels-mount.mp4,21.74,24.71,1,cinematic_studio_video_v2,pro,12,18,chain,,,Exhaust seats at the rear. Wheels roll in from off-frame and mount; tyres inflate and seat onto the rims.
A1-090,assembly,AxiomGT-A1-090_paint-resolve.mp4,24.71,27.19,1,cinematic_studio_video_v2,pro,10,15,chain,,,Paint resolves last — a matte-to-gloss sweep travels nose to tail as the camera arrives at the 3/4 hero angle.
A2-010,showcase,AxiomGT-A2-010_orbit-front.mp4,27.19,32.89,1,cinematic_studio_video_v2,pro,12,18,chain,,,"50mm orbit, front 3/4 to profile. Studio reflections sweep the paint and glass as the camera moves."
A2-020,showcase,AxiomGT-A2-020_orbit-rear.mp4,32.89,38.60,1,cinematic_studio_video_v2,pro,12,18,chain,,,"Orbit continues, profile through rear 3/4, settling back on the hero angle as the price resolves."
A3-010,showroom,Showroom-A3-010_floor-rigs.mp4,38.60,42.98,2,cinematic_studio_video_v2,std,12,12,chain,,,Floor material resolves to polished dark stone. Lighting rigs lower from above and ignite. Display platform forms beneath the car.
A3-020,showroom,Showroom-A3-020_architecture-grow.mp4,42.98,47.37,2,cinematic_studio_video_v2,std,12,12,chain,,,"Architecture grows into place — minimal walls, glass, negative space. Camera pulls back and rises to 3.4m."
A3-030,lineup,Lineup-A3-030_dissolve-a.mp4,47.37,50.26,2,cinematic_studio_video_v2,std,10,10,chain,,,Hero car dissolves into particles that reform as the next silhouette in the depth of the room.
A3-040,lineup,Lineup-A3-040_dissolve-b.mp4,50.26,53.15,2,cinematic_studio_video_v2,std,10,10,chain,,,Camera glides past; the next vehicle comes into focus as its final panels finish seating.
A3-050,lineup,Lineup-A3-050_dissolve-c.mp4,53.15,55.26,2,cinematic_studio_video_v2,std,10,10,chain,,,"Rim light sweeps across the outgoing car as it clears frame. Trimmed at 7.3s: the source then drifts on toward the EV at the far end of the room, which pre-empts that vehicle's own reveal."
A4-010,explore,Terra-A4-010_explore.mp4,55.26,61.84,2,cinematic_studio_video_v2,std,10,10,chain,,,"Terra. Orbit of the SUV; air suspension drops to load height, tailgate opens and the third row folds flat, then the body rises again."
A4-020,explore,Lumen-A4-020_explore.mp4,61.84,68.42,2,cinematic_studio_video_v2,std,10,10,chain,,,Lumen. Orbit of the saloon; the active aero shutters cycle open and closed across the grille as the camera passes the nose.
A4-030,explore,Sovereign-A4-030_explore.mp4,68.42,75.00,2,cinematic_studio_video_v2,std,10,10,chain,,,"Sovereign. Orbit of the luxury saloon; the rear coach door swings slowly open to present the cabin, interior lighting warming as it opens."
A4-040,explore,Volta-A4-040_explore.mp4,75.00,81.58,2,cinematic_studio_video_v2,std,10,10,chain,,,"Volta. Orbit of the EV; the car lifts and the battery pack slides up into the floorpan, cell rows igniting cyan one after another."
A4-050,explore,ApexRS-A4-050_explore.mp4,81.58,88.16,2,cinematic_studio_video_v2,std,10,10,chain,,,Apex RS. Orbit of the track car; the active rear wing rises on its uprights and tilts to its high-downforce angle.
A4-060,explore,Basalt-A4-060_explore.mp4,88.16,94.74,2,cinematic_studio_video_v2,std,10,10,chain,,,"Basalt. Orbit of the off-roader; the suspension articulates corner by corner and the body lifts on its travel, then the camera pulls back wide into the hall."
A6-010,epilogue,Showroom-A6-010_rise-out.mp4,94.74,100.00,1,cinematic_studio_video_v2,pro,12,18,chain,,,"Camera rises out of the showroom at 24mm, revealing the full floor and the whole range as one composed shot."
